feature,importance
azimuth,7908
maxis,7494
dist,5771
dist_mean_3,5293
amplitude,5196
activity_decline,4932
hour,4625
amp_abs,4505
dist_trend_3,4477
n_ic_30min,4324
amp_trend_3,4166
dist_trend_5,4030
dist_mean_5,3981
amp_mean_3,3952
amp_trend_5,3920
dist_mean_20,3896
amp_mean_20,3695
dist_mean_10,3686
dt_prev_s,3672
month,3555
amp_mean_5,3515
amp_mean_10,3293
dist_trend_10,3257
n_all_10min,3193
amp_trend_10,3174
t_since_start_s,3052
amp_trend_20,2981
dist_trend_20,2875
ratio_ic_cg_10min,2759
ic_trend,2469
n_all_2min,2429
rank_cg,2383
dt_std_3,2358
n_all_5min,2352
dt_mean_3,2278
n_cg_30min,1880
dt_mean_5,1866
dt_ema_3,1820
dt_mean_20,1781
ratio_ic_cg_5min,1737
airport_enc,1716
dt_ema_20,1711
dt_std_5,1700
dt_max_3,1682
n_ic_10min,1631
rate_decline_cg,1504
dt_max_20,1461
dt_mean_10,1454
n_ic_2min,1444
dt_max_10,1408
dt_std_20,1291
dt_std_10,1290
dt_max_5,1283
dt_ema_10,1280
dt_ema_5,1248
n_cg_15min,1188
n_ic_5min,1169
n_cg_10min,1147
n_cg_5min,899
total_activity,720
n_cg_2min,692
amp_sign,104
